click_count,grade,link,location,name,show_time,type
145497,7.0,magnet:?xt=urn:btih:0cb8c2677b55c2e373cbadbe6853d907156b90d4&dn=[电影天堂www.dytt89.com]姜子牙-2020_BD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2020年国产7.0分奇幻动画片《姜子牙》BD国语中字,2020-10-01(中国大陆),剧情/动画/奇幻
80411,6.5,magnet:?xt=urn:btih:fc6ea3fa44e1b091c2277602911b14cba71debfd&dn=[电影天堂www.dytt89.com]除暴-2020_HD国粤双语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国香港/中国大陆,2020年国产6.5分剧情片《除暴》HD国粤双语中字,2020-11-20(中国大陆),剧情/动作/犯罪
48819,8.3,magnet:?xt=urn:btih:87ecae6675f397d3bfc3c3c82b46323dc182e8bd&dn=[电影天堂www.dytt89.com]致允熙-2019_BD韩语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,韩国,2020年韩国8.3分剧情片《致允熙》BD韩语中字,2019-10-12(釜山电影节)/2019-11-14(韩国),剧情/同性
49821,6.8,magnet:?xt=urn:btih:bf36bb9d89f2cc66591f6c23636dda7570f5ee7b&dn=[电影天堂www.dytt89.com]领袖水准-2020_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2020年美国6.8分动作片《领袖水准》BD中英双字,2020-04-16(荷兰),动作/科幻/惊悚
63036,7.8,magnet:?xt=urn:btih:3efe6816ed357b871d9472b7b88c141e102a770d&dn=[电影天堂www.dytt89.com]一秒钟-2020_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2020年国产7.8分剧情片《一秒钟》HD国语中字,2020-11-27(中国大陆),剧情
30123,8.8,magnet:?xt=urn:btih:01cfc2dc084779ba929ca4daf5322ea2d12e5993&dn=[电影天堂www.dytt89.com]棒！少年-2020_HD国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2020年国产高分纪录片《棒！少年》HD国语中英双字,2020-12-11(中国大陆)/2021-01-12(中国大陆网络)/2020-07-28(FIRST青年影展),纪录片/运动
19463,7.7,magnet:?xt=urn:btih:0cdac53fe501dfbb7ff06883e710e6e87b79c42d&dn=[电影天堂www.dytt89.com]穷途鼠的奶酪梦-2020_BD日语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,日本,2020年日本7.7分剧情片《穷途鼠的奶酪梦》BD日语中字,2020-09-11(日本),剧情/同性
19849,4.1,magnet:?xt=urn:btih:054c6e53996cb5133c0b5bfc1f62e27a2d4fa74d&dn=[电影天堂www.dytt89.com]如果声音不记得-2020_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2020年国产爱情奇幻片《如果声音不记得》HD国语中字,2020-12-04(中国大陆),爱情/奇幻
18391,4.0,magnet:?xt=urn:btih:caee1885e1e067cdb16974958d2e8b42cd979642&dn=[电影天堂www.dytt89.com]明天你是否依然爱我-2020_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆/中国香港,2020年国产爱情片《明天你是否依然爱我》HD国语中字,2020-12-24(中国大陆),爱情/剧情
23558,7.4,magnet:?xt=urn:btih:225acfcd893b308f66eef0626b5b0112319cebe6&dn=[电影天堂www.dytt89.com]勒热夫战役-2019_BD中俄双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,俄罗斯,2019年俄罗斯7.4分战争历史片《勒热夫战役》BD中俄双字,2019-12-05(俄罗斯),战争/剧情/历史
26618,8.1,magnet:?xt=urn:btih:790d83c4abb45e48ebff311ad83ec5f5af706bb8&dn=[电影天堂www.dytt89.com]我是大哥大 电影版-2020_BD日语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,日本,2020年日本8.1分喜剧片《我是大哥大 电影版》BD日语中字,2020-07-17(日本),喜剧
147187,7.7,magnet:?xt=urn:btih:fe353ff696d03ea4dc8c50cde8537a319f60a9b7&dn=[电影天堂www.dytt89.com]八佰-2020_BD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2020年国产7.7分历史战争大片《八佰》BD国语中字,2020-08-21(中国大陆)/2020-08-14(大规模点映),剧情/历史/战争
43105,7.7,magnet:?xt=urn:btih:48a7746f950271d148b3b540a05e31c46a9bf9f8&dn=[电影天堂www.dytt89.com]误杀-2019_BD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2019年国产肖央7.7分悬疑犯罪片《误杀》BD国语中字,2019-12-13(中国大陆)/2019-12-07(大规模点映),剧情/悬疑/犯罪
62523,5.1,magnet:?xt=urn:btih:f09b7a6ff37271aea7008b806468ab684a68f81e&dn=[电影天堂www.dytt89.com]晴雅集-2020_BD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2020年国产赵又廷邓伦爱情奇幻片《晴雅集》BD国语中字,2020-12-25(中国大陆)/2021-02-05(美国网络),爱情/奇幻
22354,8.5,magnet:?xt=urn:btih:fb14bcab8d4cf2a24fbe385e46c3d1713a13328b&dn=[电影天堂www.dytt89.com]波斯语课-2020_HD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,俄罗斯/德国/白俄罗斯,2020年俄罗斯德国8.5分剧情片《波斯语课》HD中英双字,2020-02-22(柏林电影节)/2020-09-24(德国),剧情
